root,verb_entry_id,entry_type,measure,status,meaning,current_past,current_present,current_imperative,qutrub_result,qutrub_future_type,qutrub_past,qutrub_present,qutrub_imperative,past_match,present_match,imperative_match,safe_corrections,qutrub_url
شكر,شكر-main,Main,I,ai_draft,thankfulness,شَكَرَ,يَشْكُرُ,اُشْكُرْ,matched_existing_future_type,ضمة,شَكَرَ,يَشْكُرُ,اُشْكُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=شَكَرَ
حمد,حمد-main,Main,I,ai_draft,praising,حَمِدَ,يَحْمَدُ,اِحْمَدْ,matched_existing_future_type,فتحة,حَمِدَ,يَحْمَدُ,اِحْمَدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَمِدَ
سبح,سبح-main,Main,I,ai_draft,"swimming, floating",سَبَحَ,يَسْبَحُ,اِسْبَحْ,matched_existing_future_type,فتحة,سَبَحَ,يَسْبَحُ,اِسْبَحْ,True,True,True,,https://qutrub.arabeyes.org/?verb=سَبَحَ
سجد,سجد-main,Main,I,ai_draft,prostrating,سَجَدَ,يَسْجُدُ,اُسْجُدْ,matched_existing_future_type,ضمة,سَجَدَ,يَسْجُدُ,اُسْجُدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=سَجَدَ
ركع,ركع-main,Main,I,ai_draft,bowing,رَكَعَ,يَرْكَعُ,اِرْكَعْ,matched_existing_future_type,فتحة,رَكَعَ,يَرْكَعُ,اِرْكَعْ,True,True,True,,https://qutrub.arabeyes.org/?verb=رَكَعَ
نصر,نصر-main,Main,I,ai_draft,"helping, victory",نَصَرَ,يَنْصُرُ,اُنْصُرْ,matched_existing_future_type,ضمة,نَصَرَ,يَنْصُرُ,اُنْصُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=نَصَرَ
خلق,خلق-main,Main,I,ai_draft,creating,خَلَقَ,يَخْلُقُ,اُخْلُقْ,matched_existing_future_type,ضمة,خَلَقَ,يَخْلُقُ,اُخْلُقْ,True,True,True,,https://qutrub.arabeyes.org/?verb=خَلَقَ
رزق,رزق-main,Main,I,ai_draft,"providing, sustenance",رَزَقَ,يَرْزُقُ,اُرْزُقْ,matched_existing_future_type,ضمة,رَزَقَ,يَرْزُقُ,اُرْزُقْ,True,True,True,,https://qutrub.arabeyes.org/?verb=رَزَقَ
ملك,ملك-main,Main,I,ai_draft,"owning, ruling",مَلَكَ,يَمْلِكُ,اِمْلِكْ,matched_existing_future_type,كسرة,مَلَكَ,يَمْلِكُ,اِمْلِكْ,True,True,True,,https://qutrub.arabeyes.org/?verb=مَلَكَ
ملك,ملك-csv-421,Variant,VI,ai_draft,To hold (oneself),تمالك,يتمالك,تمالك,unambiguous,فتحة,تَمَالَكَ,يَتَمَالَكُ,تَمَالَكْ,False,False,False,past=تَمَالَكَ; present=يَتَمَالَكُ; imperative=تَمَالَكْ,https://qutrub.arabeyes.org/?verb=تمالك
حكم,حكم-main,Main,I,ai_draft,"judging, ruling",حَكَمَ,يَحْكُمُ,اُحْكُمْ,matched_existing_future_type,ضمة,حَكَمَ,يَحْكُمُ,اُحْكُمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَكَمَ
حكم,حكم-csv-408,Variant,V,ai_draft,"To control, dominate",تحكم,يتحكم,تحكم,unambiguous,فتحة,تَحْكَمَ,يُتَحْكِمُ,تَحْكِمْ,False,False,False,past=تَحْكَمَ; present=يُتَحْكِمُ; imperative=تَحْكِمْ,https://qutrub.arabeyes.org/?verb=تحكم
عدل,عدل-main,Main,I,ai_draft,"justice, fairness",عَدَلَ,يَعْدِلُ,اِعْدِلْ,matched_existing_future_type,كسرة,عَدَلَ,يَعْدِلُ,اِعْدِلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=عَدَلَ
عدل,عدل-csv-531,Variant,VIII,ai_draft,To be moderate,اعتدل,يعتدل,اعتدل,unambiguous,فتحة,اِعْتَدَلَ,يَعْتَدِلُ,اِعْتَدِلْ,False,False,False,past=اِعْتَدَلَ; present=يَعْتَدِلُ; imperative=اِعْتَدِلْ,https://qutrub.arabeyes.org/?verb=اعتدل
ظلم,ظلم-main,Main,I,ai_draft,"wrongdoing, oppression",ظَلَمَ,يَظْلِمُ,اِظْلِمْ,matched_existing_future_type,كسرة,ظَلَمَ,يَظْلِمُ,اِظْلِمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=ظَلَمَ
صدق,صدق-main,Main,I,ai_draft,truthfulness,صَدَقَ,يَصْدُقُ,اُصْدُقْ,matched_existing_future_type,ضمة,صَدَقَ,يَصْدُقُ,اُصْدُقْ,True,True,True,,https://qutrub.arabeyes.org/?verb=صَدَقَ
صدق,صدق-csv-128,Variant,V,ai_draft,To give charity,تصدّق,يتصدّق,تصدّق,unambiguous,فتحة,تَصَدَّقَ,يَتَصَدَّقُ,تَصَدَّقْ,False,False,False,past=تَصَدَّقَ; present=يَتَصَدَّقُ; imperative=تَصَدَّقْ,https://qutrub.arabeyes.org/?verb=تصدّق
كذب,كذب-main,Main,I,ai_draft,"lying, denying",كَذَبَ,يَكْذِبُ,اِكْذِبْ,matched_existing_future_type,كسرة,كَذَبَ,يَكْذِبُ,اِكْذِبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَذَبَ
صبر,صبر-main,Main,I,ai_draft,"patience, endurance",صَبَرَ,يَصْبِرُ,اِصْبِرْ,matched_existing_future_type,كسرة,صَبَرَ,يَصْبِرُ,اِصْبِرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=صَبَرَ
ترك,ترك-main,Main,I,ai_draft,"leaving, abandoning",تَرَكَ,يَتْرُكُ,اُتْرُكْ,matched_existing_future_type,ضمة,تَرَكَ,يَتْرُكُ,اُتْرُكْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَرَكَ
قرب,قرب-main,Main,I,ai_draft,nearness,قَرُبَ,يَقْرُبُ,اُقْرُبْ,matched_existing_future_type,ضمة,قَرُبَ,يَقْرُبُ,اُقْرُبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=قَرُبَ
بعد,بعد-main,Main,I,ai_draft,"distance, being far",بَعُدَ,يَبْعُدُ,اُبْعُدْ,matched_existing_future_type,ضمة,بَعُدَ,يَبْعُدُ,اُبْعُدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=بَعُدَ
بعد,بعد-csv-119,Variant,IV,ai_draft,"To guard against, to distance",أبعد,يبعد,أبعد,unambiguous,فتحة,أَبْعَدَ,يُبْعِدُ,أَبْعِدْ,False,False,False,past=أَبْعَدَ; present=يُبْعِدُ; imperative=أَبْعِدْ,https://qutrub.arabeyes.org/?verb=أبعد
كبر,كبر-main,Main,I,ai_draft,"greatness, growing large",كَبُرَ,يَكْبُرُ,اُكْبُرْ,matched_existing_future_type,ضمة,كَبُرَ,يَكْبُرُ,اُكْبُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَبُرَ
كبر,كبر-csv-517,Variant,III,ai_draft,To contend stubbornly,كابر,يكابر,كابر,unambiguous,فتحة,كَابَرَ,يُكَابِرُ,كَابِرْ,False,False,False,past=كَابَرَ; present=يُكَابِرُ; imperative=كَابِرْ,https://qutrub.arabeyes.org/?verb=كابر
كبر,كبر-csv-532,Variant,V,ai_draft,To be arrogant,تكبر,يتكبر,تكبر,unambiguous,فتحة,تَكْبَرَ,يُتَكْبِرُ,تَكْبِرْ,False,False,False,past=تَكْبَرَ; present=يُتَكْبِرُ; imperative=تَكْبِرْ,https://qutrub.arabeyes.org/?verb=تكبر
حسن,حسن-main,Main,I,ai_draft,"beauty, goodness",حَسُنَ,يَحْسُنُ,اُحْسُنْ,matched_existing_future_type,ضمة,حَسُنَ,يَحْسُنُ,اُحْسُنْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَسُنَ
حسن,حسن-csv-20,Variant,IV,ai_draft,To do excellently,أحسن,يحسن,أحسن,unambiguous,فتحة,أَحْسَنَ,يُحْسِنُ,أَحْسِنْ,False,False,False,past=أَحْسَنَ; present=يُحْسِنُ; imperative=أَحْسِنْ,https://qutrub.arabeyes.org/?verb=أحسن
نفع,نفع-main,Main,I,ai_draft,benefit,نَفَعَ,يَنْفَعُ,اِنْفَعْ,matched_existing_future_type,فتحة,نَفَعَ,يَنْفَعُ,اِنْفَعْ,True,True,True,,https://qutrub.arabeyes.org/?verb=نَفَعَ
ضرر,ضرر-main,Main,I,ai_draft,harm,ضَرَّ,يَضُرُّ,ضُرَّ,matched_existing_future_type,ضمة,ضَرَّ,يَضُرُّ,اُضْرُرْ,True,True,False,imperative=اُضْرُرْ,https://qutrub.arabeyes.org/?verb=ضَرَّ
ضرر,ضرر-csv-387,Variant,VIII,ai_draft,"To force, compel",اضطر,يضطر,اضطر,error: فتحة: 'NoneType' object has no attribute 'get' | ضمة: 'NoneType' object has no attribute 'get' | كسرة: 'NoneType' object has no attribute 'get',,,,,,,,,https://qutrub.arabeyes.org/?verb=اضطر
ضرر,ضرر-csv-554,Variant,IV,ai_draft,To harm,أضر,يضر,أضر,ambiguous_future_type,,أَضَرَ,,,False,,,,https://qutrub.arabeyes.org/?verb=أضر
حمل,حمل-main,Main,I,ai_draft,"carrying, bearing",حَمَلَ,يَحْمِلُ,اِحْمِلْ,matched_existing_future_type,كسرة,حَمَلَ,يَحْمِلُ,اِحْمِلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَمَلَ
حمل,حمل-csv-454,Variant,II,ai_draft,To load (with),حمل,يحمل,حمل,ambiguous_future_type,,حَمَلَ,,,False,,,,https://qutrub.arabeyes.org/?verb=حمل
حمل,حمل-csv-571,Variant,V,ai_draft,To bear,تحمل,يتحمل,تحمل,unambiguous,فتحة,تَحْمَلَ,يُتَحْمِلُ,تَحْمِلْ,False,False,False,past=تَحْمَلَ; present=يُتَحْمِلُ; imperative=تَحْمِلْ,https://qutrub.arabeyes.org/?verb=تحمل
قبل,قبل-main,Main,I,ai_draft,"accepting, facing",قَبِلَ,يَقْبَلُ,اِقْبَلْ,matched_existing_future_type,فتحة,قَبِلَ,يَقْبَلُ,اِقْبَلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=قَبِلَ
قبل,قبل-csv-315,Variant,X,ai_draft,To face,استقبل,يستقبل,استقبل,unambiguous,فتحة,اِسْتَقْبَلَ,يَسْتَقْبِلُ,اِسْتَقْبِلْ,False,False,False,past=اِسْتَقْبَلَ; present=يَسْتَقْبِلُ; imperative=اِسْتَقْبِلْ,https://qutrub.arabeyes.org/?verb=استقبل
قبل,قبل-csv-380,Variant,II,ai_draft,To kiss,قبل,يقبل,قبل,ambiguous_future_type,,قَبَلَ,,,False,,,,https://qutrub.arabeyes.org/?verb=قبل
دبر,دبر-main,Main,I,ai_draft,"turning back, managing",دَبَرَ,يَدْبُرُ,اُدْبُرْ,matched_existing_future_type,ضمة,دَبَرَ,يَدْبُرُ,اُدْبُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=دَبَرَ
دبر,دبر-csv-314,Variant,X,ai_draft,To turn the back (to or on),استدبر,يستدبر,استدبر,unambiguous,فتحة,اِسْتَدْبَرَ,يَسْتَدْبِرُ,اِسْتَدْبِرْ,False,False,False,past=اِسْتَدْبَرَ; present=يَسْتَدْبِرُ; imperative=اِسْتَدْبِرْ,https://qutrub.arabeyes.org/?verb=استدبر
دبر,دبر-csv-569,Variant,II,ai_draft,"To control, be in charge of",دبر,يدبر,دبر,ambiguous_future_type,,دَبَرَ,,,False,,,,https://qutrub.arabeyes.org/?verb=دبر
مسح,مسح-main,Main,I,ai_draft,wiping,مَسَحَ,يَمْسَحُ,اِمْسَحْ,matched_existing_future_type,فتحة,مَسَحَ,يَمْسَحُ,اِمْسَحْ,True,True,True,,https://qutrub.arabeyes.org/?verb=مَسَحَ
غسل,غسل-main,Main,I,ai_draft,washing,غَسَلَ,يَغْسِلُ,اِغْسِلْ,matched_existing_future_type,كسرة,غَسَلَ,يَغْسِلُ,اِغْسِلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=غَسَلَ
غسل,غسل-csv-178,Variant,VIII,ai_draft,To shower,اغتسل,يغتسل,اغتسل,unambiguous,فتحة,اِغْتَسَلَ,يَغْتَسِلُ,اِغْتَسِلْ,False,False,False,past=اِغْتَسَلَ; present=يَغْتَسِلُ; imperative=اِغْتَسِلْ,https://qutrub.arabeyes.org/?verb=اغتسل
طهر,طهر-main,Main,I,ai_draft,"purity, becoming clean",طَهُرَ,يَطْهُرُ,اُطْهُرْ,matched_existing_future_type,ضمة,طَهُرَ,يَطْهُرُ,اُطْهُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=طَهُرَ
طهر,طهر-csv-129,Variant,V,ai_draft,To purify (oneself),تطهّر,يتطهّر,تطهّر,unambiguous,فتحة,تَطَهَّرَ,يَتَطَهَّرُ,تَطَهَّرْ,False,False,False,past=تَطَهَّرَ; present=يَتَطَهَّرُ; imperative=تَطَهَّرْ,https://qutrub.arabeyes.org/?verb=تطهّر
جمع,جمع-main,Main,I,ai_draft,gathering,جَمَعَ,يَجْمَعُ,اِجْمَعْ,matched_existing_future_type,فتحة,جَمَعَ,يَجْمَعُ,اِجْمَعْ,True,True,True,,https://qutrub.arabeyes.org/?verb=جَمَعَ
جمع,جمع-csv-150,Variant,VIII,ai_draft,To meet,اجتمع,يجتمع,اجتمع,unambiguous,فتحة,اِجْتَمَعَ,يَجْتَمِعُ,اِجْتَمِعْ,False,False,False,past=اِجْتَمَعَ; present=يَجْتَمِعُ; imperative=اِجْتَمِعْ,https://qutrub.arabeyes.org/?verb=اجتمع
جمع,جمع-csv-352,Variant,IV,ai_draft,To unanimously agree,أجمع,يجمع,أجمع,unambiguous,فتحة,أَجْمَعَ,يُجْمِعُ,أَجْمِعْ,False,False,False,past=أَجْمَعَ; present=يُجْمِعُ; imperative=أَجْمِعْ,https://qutrub.arabeyes.org/?verb=أجمع
فرق,فرق-main,Main,I,ai_draft,"separating, distinguishing",فَرَقَ,يَفْرُقُ,اُفْرُقْ,matched_existing_future_type,ضمة,فَرَقَ,يَفْرُقُ,اُفْرُقْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَرَقَ
ذهب,ذهب-main,Main,I,ai_draft,going,ذَهَبَ,يَذْهَبُ,اِذْهَبْ,matched_existing_future_type,فتحة,ذَهَبَ,يَذْهَبُ,اِذْهَبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=ذَهَبَ
نظر,نظر-main,Main,I,ai_draft,looking,نَظَرَ,يَنْظُرُ,اُنْظُرْ,matched_existing_future_type,ضمة,نَظَرَ,يَنْظُرُ,اُنْظُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=نَظَرَ
عقل,عقل-main,Main,I,ai_draft,"understanding, reason",عَقَلَ,يَعْقِلُ,اِعْقِلْ,matched_existing_future_type,كسرة,عَقَلَ,يَعْقِلُ,اِعْقِلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=عَقَلَ
فقه,فقه-main,Main,I,ai_draft,understanding deeply,فَقِهَ,يَفْقَهُ,اِفْقَهْ,matched_existing_future_type,فتحة,فَقِهَ,يَفْقَهُ,اِفْقَهْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَقِهَ
قلب,قلب-main,Main,I,ai_draft,"turning, heart",قَلَبَ,يَقْلِبُ,اِقْلِبْ,matched_existing_future_type,كسرة,قَلَبَ,يَقْلِبُ,اِقْلِبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=قَلَبَ
قلب,قلب-csv-379,Variant,II,ai_draft,To turn over,قلب,يقلب,قلب,ambiguous_future_type,,قَلَبَ,,,False,,,,https://qutrub.arabeyes.org/?verb=قلب
قلب,قلب-csv-392,Variant,VII,ai_draft,To turn (into),انقلب,ينقلب,انقلب,unambiguous,فتحة,اِنْقَلَبَ,يَنْقَلِبُ,اِنْقَلِبْ,False,False,False,past=اِنْقَلَبَ; present=يَنْقَلِبُ; imperative=اِنْقَلِبْ,https://qutrub.arabeyes.org/?verb=انقلب
بعث,بعث-main,Main,I,ai_draft,"raising, sending",بَعَثَ,يَبْعَثُ,اِبْعَثْ,matched_existing_future_type,فتحة,بَعَثَ,يَبْعَثُ,اِبْعَثْ,True,True,True,,https://qutrub.arabeyes.org/?verb=بَعَثَ
كره,كره-main,Main,I,ai_draft,disliking,كَرِهَ,يَكْرَهُ,اِكْرَهْ,matched_existing_future_type,فتحة,كَرِهَ,يَكْرَهُ,اِكْرَهْ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَرِهَ
شرب,شرب-main,Main,I,ai_draft,drinking,شَرِبَ,يَشْرَبُ,اِشْرَبْ,matched_existing_future_type,فتحة,شَرِبَ,يَشْرَبُ,اِشْرَبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=شَرِبَ
لبس,لبس-main,Main,I,ai_draft,"wearing, clothing",لَبِسَ,يَلْبَسُ,اِلْبَسْ,matched_existing_future_type,فتحة,لَبِسَ,يَلْبَسُ,اِلْبَسْ,True,True,True,,https://qutrub.arabeyes.org/?verb=لَبِسَ
فقد,فقد-main,Main,I,ai_draft,losing,فَقَدَ,يَفْقِدُ,اِفْقِدْ,matched_existing_future_type,كسرة,فَقَدَ,يَفْقِدُ,اِفْقِدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَقَدَ
بخل,بخل-main,Main,I,ai_draft,stinginess,بَخِلَ,يَبْخَلُ,اِبْخَلْ,matched_existing_future_type,فتحة,بَخِلَ,يَبْخَلُ,اِبْخَلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=بَخِلَ
غلب,غلب-main,Main,I,ai_draft,overcoming,غَلَبَ,يَغْلِبُ,اِغْلِبْ,matched_existing_future_type,كسرة,غَلَبَ,يَغْلِبُ,اِغْلِبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=غَلَبَ
جنب,جنب-main,Main,I,ai_draft,"side, avoiding",جَنَبَ,يَجْنُبُ,اُجْنُبْ,matched_existing_future_type,ضمة,جَنَبَ,يَجْنُبُ,اُجْنُبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=جَنَبَ
جنب,جنب-csv-319,Variant,V,ai_draft,To avoid,تجنب,يتجنب,تجنب,unambiguous,فتحة,تَجْنَبَ,يُتَجْنِبُ,تَجْنِبْ,False,False,False,past=تَجْنَبَ; present=يُتَجْنِبُ; imperative=تَجْنِبْ,https://qutrub.arabeyes.org/?verb=تجنب
فجر,فجر-main,Main,I,ai_draft,"bursting forth, dawn",فَجَرَ,يَفْجُرُ,اُفْجُرْ,matched_existing_future_type,ضمة,فَجَرَ,يَفْجُرُ,اُفْجُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَجَرَ
عصر,عصر-main,Main,I,ai_draft,"pressing, squeezing",عَصَرَ,يَعْصِرُ,اِعْصِرْ,matched_existing_future_type,كسرة,عَصَرَ,يَعْصِرُ,اِعْصِرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=عَصَرَ
حفظ,حفظ-main,Main,I,ai_draft,"guarding, memorizing",حَفِظَ,يَحْفَظُ,اِحْفَظْ,matched_existing_future_type,فتحة,حَفِظَ,يَحْفَظُ,اِحْفَظْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَفِظَ
حفظ,حفظ-csv-123,Variant,III,ai_draft,To preserve,حافظ,يحافظ,حافظ,unambiguous,فتحة,حَافَظَ,يُحَافِظُ,حَافِظْ,False,False,False,past=حَافَظَ; present=يُحَافِظُ; imperative=حَافِظْ,https://qutrub.arabeyes.org/?verb=حافظ
